Title,Image URL,Synopsis,Genres,Released Year,Status,Other Names,Total Episodes
3-nen Z-gumi Ginpachi-sensei,https://gogocdn.net/cover/3-nen-z-gumi-ginpachi-sensei.png,Plot Summary: ,comedy,0,Upcoming,3年Z組銀八先生,0
30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii,https://gogocdn.net/cover/30-sai-made-doutei-da-to-mahou-tsukai-ni-nareru-rashii.png,Plot Summary: ,"adult-cast, boys-love, comedy, supernatural, workplace",2024,Completed,"Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!, 30歳まで童貞だと魔法使いになれるらしい",12
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii (Dub),https://gogocdn.net/cover/30-sai-made-doutei-dato-mahoutsukai-ni-nareru-rashii-dub.png,Plot Summary: ,"adult-cast, boys-love, comedy, supernatural, work-life",2024,Completed,"Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!, 30歳まで童貞だと魔法使いになれるらしい",12
30-sai no Hoken Taiiku,https://gogocdn.net/images/anime/A/30-sai-no-Hoken-Taiiku.jpg,Plot Summary: ,"ecchi, parody, romance, seinen",2011,Completed,"A Thirty-Year Old's Health and Physical Education, Sanjuu-sai no Hoken Taiiku, 30歳の保健体育",12
3000 Leagues in Search of Mother,https://gogocdn.net/images/anime/A/3000-leagues-in-search-of-mother.jpg,Plot Summary: ,"adventure, drama, slice-of-life",1976,Completed,"Haha wo Tazunete Sanzenri, Sekai Meisaku Gekijou, 3000 Leagues in Search of Mother, Marco, From the Appenines to the Andes, 母をたずねて三千里",52
30th Gundam Perfect Mission,https://gogocdn.net/cover/30th-gundam-perfect-mission.png,Plot Summary: ,sci-fi,2009,Completed,,1
3D Kanojo: Real Girl,https://gogocdn.net/cover/3d-kanojo-real-girl.png,Plot Summary: ,"romance, school, shoujo",2018,Completed,"3D Girlfriend, ３Ｄ彼女　リアルガール",12
3D Kanojo: Real Girl (Dub),https://gogocdn.net/cover/3d-kanojo-real-girl-dub.png,Plot Summary: ,"romance, school, shoujo",2018,Completed,3D彼女 リアルガール,12
3D Kanojo: Real Girl 2nd Season,https://gogocdn.net/cover/3d-kanojo-real-girl-2nd-season.png,Plot Summary: ,"romance, school, shoujo",2019,Completed,3D彼女 リアルガール第2シーズン,12
3D Kanojo: Real Girl 2nd Season (Dub),https://gogocdn.net/cover/3d-kanojo-real-girl-2nd-season-dub.png,Plot Summary: ,"romance, school, shoujo",2019,Completed,3D彼女 リアルガール第2シーズン,12
3x3 Eyes (Dub),https://gogocdn.net/cover/3x3-eyes-dub.png,Plot Summary: ,"action, demons, fantasy, horror, romance",1991,Completed,3×3EYES,4
3x3 Eyes: Seima Densetsu,https://gogocdn.net/cover/3x3-eyes-seima-densetsu.png,Plot Summary: ,"action, adventure, demons, fantasy, horror",1995,Completed,"3x3 Eyes: Legend of the Divine Demon, 3x3 Eyes 2, 3×3 EYES聖魔伝説",3
3x3 Eyes: Seima Densetsu (Dub),https://gogocdn.net/cover/3x3-eyes-seima-densetsu-dub.png,Plot Summary: ,"action, adventure, demons, fantasy, horror, romance",1995,Completed,"3x3 Eyes: Legend of the Divine Demon, 3x3 Eyes 2, 3×3 EYES聖魔伝説",3
4-nin wa Sorezore Uso wo Tsuku,https://gogocdn.net/cover/4-nin-wa-sorezore-uso-wo-tsuku-1664386700.png,Plot Summary: ,"comedy, shounen, slice-of-life",2022,Completed,Four People and Their Respective Lies; ４人はそれぞれウソをつく,11
40 Shuunen Da yo!! CoroCoro All-Star Shougakkou,https://gogocdn.net/cover/40-shuunen-da-yo-corocoro-all-star-shougakkou.png,Plot Summary: ,"comedy, parody, school",2017,Completed,40周年だよ!! コロコロオールスター小学校,1
5 Centimeters Per Second,https://gogocdn.net/images/anime/22319.jpg,Plot Summary: ,"drama, romance, slice-of-life",2007,Completed,"Byousoku 5 Centimeter, Five Centimeters Per Second, Byousoku 5 Centimeter - a chain of short stories about their distance, 5 Centimetres Per Second, 5 cm per second, 秒速５センチメートル",1
5 Centimeters per Second (Dub),https://gogocdn.net/cover/5-centimeters-per-second-dub.jpg,Plot Summary: ,"drama, romance, slice-of-life",2007,Completed,"Byousoku 5 Centimeter, Five Centimeters Per Second, Byousoku 5 Centimeter - a chain of short stories about their distance, 5 Centimetres Per Second, 5 cm per second, 秒速５センチメートル",1
5-Okunen Button,https://gogocdn.net/cover/5-okunen-button.png,Plot Summary: ,"comedy, sci-fi",2022,Completed,"The 500 Million Yen Button, 5億年ボタン",12
5-toubun no Hanayome 2,https://gogocdn.net/cover/5-toubun-no-hanayome-2.png,Plot Summary: ,"comedy, harem, romance, school, shounen",2021,Completed,"5-toubun no Hanayome ∬, 五等分の花嫁∬, The Quintessential Quintuplets 2, Gotoubun no Hanayome 2",12
5-toubun no Hanayome 2 (Dub),https://gogocdn.net/cover/5-toubun-no-hanayome-2-dub.png,Plot Summary: ,"comedy, harem, romance, school, shounen",2021,Completed,"5-toubun no Hanayome ∬, 五等分の花嫁∬, The Quintessential Quintuplets 2, Gotoubun no Hanayome 2",12
5-toubun no Hanayome Movie,https://gogocdn.net/cover/5-toubun-no-hanayome-movie.png,Plot Summary: ,"comedy, harem, romance, school, shounen",2022,Completed,"映画 五等分の花嫁 
                           劇場版 五等分的新娘 
                           극장판 5등분의 신부 
                           เจ้าสาวผมเป็นแฝดห้า เดอะ มูฟวี่ 
                           Gotoubun no Hanayome 
                           The Quintessential Quintuplets Movie 
                           The Five Wedded Brides",1
5-toubun no Hanayome Movie (Dub),https://gogocdn.net/cover/5-toubun-no-hanayome-movie-dub.png,Plot Summary: ,"comedy, dub, harem, romance, school, shounen",2022,Completed,"映画 五等分の花嫁 
                           劇場版 五等分的新娘 
                           극장판 5등분의 신부 
                           เจ้าสาวผมเป็นแฝดห้า เดอะ มูฟวี่ 
                           Gotoubun no Hanayome 
                           The Quintessential Quintuplets Movie 
                           The Five Wedded Brides",1
5-toubun no Hanayome∽,https://gogocdn.net/cover/5-toubun-no-hanayome.png,Plot Summary: ,"comedy, romance",2023,Upcoming,"五等分の花嫁∽ 
                           The Quintessential Quintuplets~",2
6 Angels,https://gogocdn.net/images/anime/65476.jpg,Plot Summary: ,"action, sci-fi",2001,Completed,"Six Angels, シックス・エンジェルズ",6
6HP (Six Hearts Princess),https://gogocdn.net/cover/6hp-six-hearts-princess.png,Plot Summary: ,magic,2016,Ongoing,"6♥Princess, 6 Princess, 6HP(シックスハートプリンセス)",7
7 Seeds,https://gogocdn.net/cover/7-seeds.png,Plot Summary: ,"action, adventure, drama, horror, mystery, psychological, romance, sci-fi, shoujo",2019,Completed,"Seven Seeds, セブンシーズ",12
7 Seeds (Dub),https://gogocdn.net/cover/7-seeds-dub.png,Plot Summary: ,"adventure, drama, mystery, psychological, romance, sci-fi, shoujo",2019,Completed,"Seven Seeds, 7SEEDS, セブンシーズ",12
7 Seeds 2nd Season,https://gogocdn.net/cover/7-seeds-2nd-season.png,Plot Summary: ,"adventure, drama, mystery, psychological, romance, sci-fi, shoujo",2020,Completed,"Seven Seeds 2nd Season, 7SEEDS",12
7 Seeds 2nd Season (Dub),https://gogocdn.net/cover/7-seeds-2nd-season-dub.png,Plot Summary: ,"adventure, drama, mystery, psychological, romance, sci-fi, shoujo",2020,Completed,"Seven Seeds 2nd Season, 7SEEDS",12
77Danui Bimil,https://gogocdn.net/cover/77danui-bimil.png,Plot Summary: ,"action, adventure, drama",1978,Completed,"77 Group's Secret, Secret of 77 Dan, 77단의 비밀",1
86,https://gogocdn.net/cover/86.png,Plot Summary: ,"drama, sci-fi",2021,Completed,Eighty Six; 86―エイティシックス―,11
86 (Dub),https://gogocdn.net/cover/86-dub.png,Plot Summary: ,"action, drama, mecha, military, sci-fi",2021,Completed,86―エイティシックス―,11
86 Part 2,https://gogocdn.net/cover/86-2nd-season.png,Plot Summary: ,"action, drama, mecha, military, sci-fi",2021,Completed,86―エイティシックス― ; 86 Eighty-Six,12
86 Part 2 (Dub),https://gogocdn.net/cover/86-part-2-dub.png,Plot Summary: ,"action, drama, mecha, military, sci-fi",2021,Completed,"86 Eighty-Six, 86―エイティシックス―",12
86 Special Edition: Senya ni Akaku Hinageshi no Saku,https://gogocdn.net/cover/86-special-edition-senya-ni-akaku-hinageshi-no-saku.png,Plot Summary: ,"action, drama, military, sci-fi",2021,Completed,86-エイティシックス- Special Edition「戦野に紅く雛罌粟の咲く」,1
91 Days,https://gogocdn.net/cover/91-days.jpg,Plot Summary: ,drama,2016,Completed,91Days,12
91 Days (Dub),https://gogocdn.net/cover/91-days-dub.png,Plot Summary: ,drama,2016,Completed,91Days,12
91 Days Special,https://gogocdn.net/cover/91-days-special.png,Plot Summary: ,"action, drama, historical",2017,Completed,91Days Day13,1
999 Girls Chasing Me,https://gogocdn.net/cover/999-girls-chasing-me.png,Plot Summary: ,"fantasy, romance",2024,Ongoing,"999 Girls Chasing Me, 999个妹子倒追我",8
A Brightening Life,https://gogocdn.net/cover/a-brightening-life.png,Plot Summary: ,"drama, music",2010,Completed,,1
A Channel,https://gogocdn.net/images/anime/a-channel8.jpg,Plot Summary: ,"comedy, school, seinen, slice-of-life",2011,Completed,"A-Channel: The Animation, Aチャンネル",12
A Channel Ova,https://gogocdn.net/images/anime/a-channel8.jpg,Plot Summary: ,"comedy, school, seinen, slice-of-life",2012,Completed,"A-Channel+smile, Aチャンネル+smile（プラス スマイル）",2
A Channel Special,https://gogocdn.net/images/anime/a-channel8.jpg,Plot Summary: ,"comedy, school, seinen, slice-of-life",2011,Completed,"A-Channel: +A-Channel, Aチャンネル",11
A Day Before Us,https://gogocdn.net/cover/a-day-before-us.png,Plot Summary: ,romance,2018,Completed,A Day Before Us (Season Zero),18
A Disguised Princess,https://gogocdn.net/cover/a-disguised-princess.png,Plot Summary: ,"comedy, drama, fantasy, gender-bender, historical, shoujo",2021,Completed,,20
A Favorite Marriage is Coming,https://gogocdn.net/cover/a-favorite-marriage-is-coming.png,Plot Summary: ,romance,2019,Completed,,36
A Game Between You and Me,https://gogocdn.net/cover/a-game-between-you-and-me.png,Plot Summary: ,"adventure, comedy, romance",2021,Completed,,20
A Kite,https://gogocdn.net/cover/a-kite.png,Plot Summary: ,"action, drama, gore",1998,Completed,"Kite, A KITE（カイト）",1
A Kite (Dub),https://gogocdn.net/cover/a-kite-dub.png,Plot Summary: ,"action, drama, gore",1998,Completed,"Kite, A KITE（カイト）",1
A Letter to Momo (Dub),https://gogocdn.net/cover/a-letter-to-momo-dub.jpg,Plot Summary: ,drama,2011,Completed,"Momo e no Tegami, ももへの手紙",1
A Little Snow Fairy Sugar,https://gogocdn.net/images/anime/a-little-snow-fairy-sugar4.jpg,Plot Summary: ,"comedy, fantasy",2001,Completed,"Chicchana Yukitsukai Sugar, Tiny Snow Fairy Sugar, Chiccha na Yukitsukai Sugar, ちっちゃな雪使いシュガー",26
A Little Snow Fairy Sugar (Dub),https://gogocdn.net/cover/a-little-snow-fairy-sugar-dub.jpg,Plot Summary: ,"comedy, fantasy, music, shoujo",2001,Completed,"Chicchana Yukitsukai Sugar, Tiny Snow Fairy Sugar, Chiccha na Yukitsukai Sugar, ちっちゃな雪使いシュガー",26
A Lord Who Doesn't Mind Being A Lord,https://gogocdn.net/cover/a-lord-who-doesnt-mind-being-a-lord.png,Plot Summary: ,"action, adventure, comic",2023,Completed,领主什么的都无所谓啦,30
A Master Of Pints,https://gogocdn.net/cover/a-master-of-pints.png,Plot Summary: ,"action, adventure, comedy, ecchi, harem, martial-arts, shounen",2022,Ongoing,"First Rate Master, A Decent Hitman, First-Class Master, Nhất Phẩm Cao Thủ, Top-ranking Kungfu Ace, Yipin Gaoshou, 一品高手, 古武術無双",33
A playboy of exorcist,https://gogocdn.net/cover/a-playboy-of-exorcist.png,Plot Summary: ,comedy,2020,Ongoing,,8
A Starry Tale (Dub),https://gogocdn.net/cover/a-starry-tale-dub.jpg,Plot Summary: ,fantasy,2011,Completed,,1
A stone-moving quack :The princess wants a divorce,https://gogocdn.net/cover/a-stone-moving-quack-the-princess-wants-a-divorce.png,Plot Summary: ,drama,2020,Completed,,15
A Tree of Palme (Dub),https://gogocdn.net/cover/a-tree-of-palme-dub.jpg,Plot Summary: ,"adventure, drama, fantasy, romance",2003,Completed,"Palme no Ki, Arbre de Palmem, パルムの樹",1
A Tyrant’s Anti-Time-Travel Alliance,https://gogocdn.net/cover/a-tyrants-anti-time-travel-alliance.png,Plot Summary: ,"action, drama, fantasy, shounen",2024,Ongoing,"A Tyrant's Anti-Time-Travel Alliance, Baojun De Fan Chuanyue Da Lianmeng, Bàojūn De Fǎn Chuānyuè Dà Liánméng, The Tyrant's Anti-Transmigration Great Union, Tyrant Emperor: The Great Alliance Anti-Traverse, Tyrant's Anti-Travel Major League, ネット小説の暴君が現代に降臨",6
A Useless Onmyoji Family,https://gogocdn.net/cover/a-useless-onmyoji-family.png,Plot Summary: ,"comedy, fantasy, slice-of-life",2019,Completed,"Mei Chu Xi De Yin Yang Shi Yi Jia, 没出息的阴阳师一家",12
A Wind Named Amnesia (Dub),https://gogocdn.net/cover/a-wind-named-amnesia-dub.jpg,Plot Summary: ,"action, dementia, drama, sci-fi, seinen",1990,Completed,"Kaze no Na wa Amnesia, Kaze no Namae wa Amunejia,風の名はアムネジア",1
